last_name, first_name,player_id,year,slg_percent,on_base_percent,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_bolts,hp_to_1b,sprint_speed
Gimenez, Andres,665926,2022,0.466,0.368,87.8,11.7,31.3,6.2,6.5,25.6,20.7,32.4,8.5,37.8,99.022592,70.9,18.4,38.3,38.9,59.4,52.9,70.4,6.9,79.6,47.1,41.5,26.2,53.7,37.8,40.4,21.8,63.5,48.2,19.4,24.4,8,44,4.14,29.3
Kirilloff, Alex,666135,2022,0.361,0.288,89.3,6.1,28.2,6.4,5.5,23.6,20,41.8,2.7,45.5,99.634929455,71.4,14.9,30,31.9,68.1,51,83,7.7,85.1,49,42.5,20.1,50.3,31.8,37.3,30.9,52.6,55.5,26.4,15.5,2.7,,4.32,27.6
Lowe, Josh,666139,2022,0.343,0.283,88.3,11.4,47.4,5.2,10.3,22.4,27.6,30.2,4.3,37.1,98.497331034,66.7,29.2,25.1,41.9,58.1,49.2,84.7,6.9,70.5,50.8,39.6,32.6,46.2,29.3,41.4,29.3,62.1,36.2,29.3,31,3.4,8,4.21,28.8
Lux, Gavin,666158,2022,0.399,0.346,88,6.8,34,6.1,6.1,24,20.4,39.8,3.3,39.8,98.887037439,62.4,15.3,23.8,43.3,56.7,51.1,78.3,7.8,84.7,48.9,43.7,23.3,42.6,37.7,40.1,22.2,58.2,49.5,21.9,24,4.6,4,4.19,28.9
Adell, Jo,666176,2022,0.373,0.263,87.4,16.7,33.3,9.9,3.1,22.8,27.8,30.9,5.6,37.7,99.589186914,70.1,30.3,34.6,48.1,51.9,51.1,73.3,7.7,69.7,48.9,41.5,36.3,52,45.7,31.5,22.8,62.9,40.7,22.8,25.3,11.1,27,4.31,29.8
Bichette, Bo,666182,2022,0.469,0.333,91.9,8.5,33.3,9.6,7.2,27.1,17.2,35.5,2.4,50.3,102.743171296,77.6,14.8,35.2,40.3,59.7,51.1,84.5,7.4,85.2,48.9,42.7,23,55.9,29.3,35.9,34.9,66.1,49.1,22,24.6,4.2,,4.5,27.5
Carlson, Dylan,666185,2022,0.380,0.316,86.1,12.9,35.7,4.4,7.3,22.2,29.8,30.7,5,27.2,96.293953036,67.7,20.4,24.8,39.8,59.8,50.2,83.3,7.9,79.3,49.8,45,25.6,46.2,34.8,38,27.2,56.5,43,27.5,25.1,4.4,,4.32,28.1
Morel, Christopher,666624,2022,0.433,0.306,89.6,9.1,30,13.4,5.7,22.3,16.6,34,6.5,40.3,101.819951356,72,33.6,28.6,50.2,48.9,50.5,85.5,8,65.2,49.5,43.4,38.3,50.1,39.3,42.9,17.8,68.7,51,24.3,18.2,6.5,6,4.38,28.8
Castro, Rodolfo,666801,2022,0.427,0.299,87.3,11.7,25.6,6.7,7.2,20,21.7,38.3,5.6,35,99.31755,67.7,23.9,27.5,53.8,46.2,50.3,79.5,7,75.9,49.7,43.8,32.6,47.5,38.9,36.7,24.4,57.8,51.1,24.4,17.2,7.2,,4.45,27.3
Dalbec, Bobby,666915,2022,0.369,0.283,90.3,15.2,32,11.8,6.4,22.2,28.6,28.1,2.5,45.8,101.246531881,66.3,24.4,29,56.4,43.6,53.1,77.8,6.7,75.6,46.9,42.4,35,46.5,35.5,38.4,26.1,61.8,38.9,33.5,21.2,6.4,,4.49,28.3
