last_name, first_name,player_id,year,slg_percent,on_base_percent,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_bolts,hp_to_1b,sprint_speed
Clement, Ernie,676391,2022,0.209,0.240,85,11.8,27.1,3.6,3.6,21.4,28.6,38.6,4.3,25.7,94.798252206,63.4,13.1,34.9,21.7,78.3,48.3,56.3,7.6,86.4,51.7,46.9,16,49.6,30.7,40.7,28.6,62.6,47.1,28.6,18.6,5.7,,4.32,28.2
Barrero, Jose,676480,2022,0.206,0.195,87.5,17.7,33.7,2.2,6.7,22.5,34.8,25.8,6.7,35.2,98.193362727,76.1,21.7,40.2,64.3,34.3,53.5,77.8,8.1,77.4,46.5,41.7,38.5,57.4,40.4,37.1,22.5,73.6,40.4,29.2,21.3,9,,4.49,27.9
Meyers, Jake,676694,2022,0.313,0.269,87.3,7.2,30.9,5.2,5.2,25.8,15.5,41.2,6.2,37.1,98.54444,65.7,22.9,30.4,48,52,51.8,70.6,8,77.1,48.2,39.7,31.2,47.4,42.3,39.2,18.6,63.1,53.6,16.5,25.8,4.1,1,4.35,28.9
McCormick, Chas,676801,2022,0.407,0.332,88.1,12.8,33.5,10.2,4.7,22.8,26.4,30.7,5.1,39,98.903106371,69.7,25.1,29.6,47,52.2,53.2,78.6,7.4,74.1,46.8,41.7,32.2,48.4,29.5,39.8,30.7,57.5,44.1,31.9,22,2,5,4.27,28.7
Franco, Wander,677551,2022,0.417,0.328,87.3,8.2,35.1,4.6,4.9,28.1,23.5,34.4,4.6,35.8,98.428767413,73.1,7.5,30.1,26.9,73.1,50.7,85.9,7,92.5,49.3,45.4,13.3,51.3,32.6,39.6,27.7,60.3,44.2,18.2,29.1,8.4,1,4.29,27.8
Rodriguez, Julio,677594,2022,0.509,0.345,92,10.1,32.7,13.1,8.4,19.3,19.1,36.5,2.5,50.7,103.718795769,70.5,19.9,33.5,48.6,51.4,54.8,78.2,6.4,80.1,45.2,44,30.4,50.2,39.2,37.6,23.2,65.1,46.3,24,22.3,7.4,75,4.24,29.8
Duran, Ezequiel,677649,2022,0.365,0.277,85.9,9.5,24.7,4.5,6.5,18.2,24,42.2,3.2,31.8,97.9242875,72.5,22.1,39,41.3,56.8,50.3,80,7.6,76.5,49.7,44.2,28.9,55.7,39.6,29.9,30.5,70.5,50,12.3,20.8,16.9,7,4.34,29.1
Thomas, Alek,677950,2022,0.344,0.275,87.4,2.6,27.9,3.8,6.4,21.5,17.6,47.1,2.2,34.6,98.660118182,63.8,18.2,33.4,38.9,60.7,48.2,75.2,6.8,81.6,51.8,43,25,49.2,32.1,39.1,28.8,64.7,57.7,15.7,21.8,4.8,11,4.13,29.4
Witt Jr., Bobby,677951,2022,0.428,0.294,89.7,16.8,32.5,8.7,4.6,23.6,34.3,26.2,2.2,38.6,100.836506783,70.4,17.9,34.6,38.9,61.1,52,78.1,7.6,82.1,48,43.2,25.2,51.8,33.2,39.3,27.5,64.1,36.2,33.4,22.6,7.8,107,4.13,30.4
Torkelson, Spencer,679529,2022,0.319,0.285,90.5,15,35.4,8.4,8,22.1,27.8,32.7,0.8,41.8,100.743731756,67,17.9,24.7,46.5,53.5,49.8,80.1,8.8,82.1,50.2,42.9,25.6,45.9,39.2,34.2,26.6,58.4,40.7,25.9,25.9,7.6,,4.54,27.8
Kwan, Steven,680757,2022,0.400,0.371,85.1,11.8,34.6,1.4,2.6,29.1,29.5,32.6,4.3,20.8,94.219058287,55.1,5.5,20.2,19.2,79.6,48.7,64.2,8.1,93.7,51.3,42,9,38.1,28.3,37.7,34,59,42.6,23.6,27.9,5.9,17,4.16,28.4
Duran, Jarren,680776,2022,0.363,0.283,89.3,7.6,27.5,7.7,5.6,22.5,19,38,7,38,99.170221176,68.9,17.1,31.5,51.8,47.5,50.7,90.8,7.4,82.6,49.3,45.1,28.2,49.9,30.3,43,26.8,60.5,54.2,24.6,16.9,4.2,14,4.13,29.2
Jeffers, Ryan,680777,2022,0.363,0.284,88.2,18.2,35.8,13.2,11.9,15.9,25.2,23.2,9.9,42.4,101.152073919,66.8,16.9,25.9,37.1,62.9,50.4,80,7.4,82.8,49.6,42.3,22.6,46.2,38.4,35.1,26.5,66.9,37.7,33.8,21.9,6.6,,4.73,26.0
Miller, Owen,680911,2022,0.351,0.301,85.8,10.1,35,3.5,5.6,24.7,27.9,32.6,5.3,31.2,97.306117941,62.4,11.8,34.7,29.5,70.5,52.1,65.3,7.8,88.2,47.9,42.5,18.5,48,34.1,40.6,25.3,63.6,43.8,22.9,26.8,6.5,17,4.3,29.0
Donovan, Brendan,680977,2022,0.379,0.393,87.7,6,32.7,3.4,4.9,28.7,17.9,40.7,4,37.7,98.14258882,55.7,9,21.3,32.1,66.5,51.3,65.2,8,90.4,48.7,42.3,15.6,38.1,32.4,37.3,30.2,56.7,54.3,19.1,24.4,2.2,1,4.38,27.2
Stott, Bryson,681082,2022,0.358,0.294,88.1,13.1,29.4,4.4,4.4,26.5,26.8,33.2,4.4,36.8,97.97018994,60.8,13.3,28.1,26.2,73.8,48.5,75.7,7.7,86.1,51.5,46.4,17.2,45,32.6,35.6,31.8,61.8,46.5,23.5,21.2,8.8,18,4.21,29.1
Bride, Jonah,681146,2022,0.247,0.299,86.9,11.5,31.8,1.5,9.1,21.2,25,36.4,6.8,31.1,96.774698182,47.3,10.9,25,28.4,71.6,51.2,53.3,7.5,89.1,48.8,41.9,17.1,35.9,40.2,36.4,23.5,55.6,46.2,21.2,26.5,6.1,,4.52,26.9
Villar, David,681584,2022,0.455,0.331,86.8,17.8,33.3,9.1,2,21.2,36.4,25.3,6.1,36.4,97.5144976,67.1,26.5,20.6,73,27,49.2,81.5,7.4,73.5,50.8,43.4,37.2,44.2,36.4,44.4,19.2,69.1,38.4,40.4,19.2,2,,4.59,26.7
Abrams, CJ,682928,2022,0.324,0.278,86.5,6.8,28.6,2.1,4.2,23.1,23.1,39.9,6.3,30.7,97.184953739,72.9,15.2,41.2,34.8,64.3,49.9,80,6.9,83.7,50.1,43.4,22.3,57,32.8,39.9,27.3,65.9,52.5,21,18.5,8,24,4.21,29.0
Greene, Riley,682985,2022,0.362,0.321,89.5,2.8,32,9.3,5,25.9,13.9,41.3,3.9,45.2,102.14516814,64.5,17.8,27.5,42.6,57.4,51.7,73.9,6.9,82.2,48.3,41.4,25.6,45.3,33.6,40.2,26.3,61.2,56.8,19.3,22.4,1.5,,4.29,27.7
Vaughn, Andrew,683734,2022,0.429,0.321,90.8,7.5,34.1,7.9,10,22.4,17.9,37.2,2.9,48.6,101.162950291,61.4,12.2,32.8,37.3,62.7,50.2,66,6.8,87.8,49.8,43.9,21,47,31,39.4,29.6,62,48,22.2,25.1,4.8,,4.71,26.2
Pasquantino, Vinnie,686469,2022,0.450,0.383,91.2,12.1,34.1,8.8,7.5,26.5,24.3,30.5,1.8,46.9,101.197336607,68,9,26.4,29.7,70.3,52.8,79.5,7.5,90.4,47.2,42.2,15.3,46,39.8,38.5,21.7,61.1,40.7,25.2,29.2,4.9,,4.73,25.6
Massey, Michael,686681,2022,0.376,0.304,89.3,16.4,35.1,13,4.6,21.4,24.4,26.7,9.2,38.2,99.036690645,73.5,22.3,35.6,39.1,59.4,50.1,86.8,7.4,75.4,49.9,42.4,27.8,54.5,50.4,31.3,18.3,63.9,38.9,31.3,22.9,6.9,,4.47,27.1
Grissom, Vaughn,687093,2022,0.440,0.353,84.6,9,35.2,7.4,2.8,28.7,19.4,34.3,7.4,34.3,97.006606667,70.7,15.7,34.7,43.9,56.1,52.4,88.9,6.1,83.8,47.6,41.7,25.6,51.9,44.4,31.5,24.1,69.7,44.4,24.1,27.8,3.7,,4.47,27.7
